tw_id,tw_created_at,tw_text,tw_favCount,tw_rtCount,tw_qtCount,tw_rpCount,tw_location,tw_user_id,tw_user_screenName,tw_hashtags,tw_menciones,or_id,or_created_at,or_text,or_favCount,or_rtCount,or_qtCount,or_rpCount,or_location,or_user_id,or_user_screenName,or_hashtags,or_menciones,relacion_nuevo_original
1385705062442405888,2021-04-23 21:20:06+00:00,RT @chuck_lennon: Las horas contadas ?  #LarretaRenunciaYa,0,0,0,0, ,398644017,enriquehopman,LarretaRenunciaYa ,chuck_lennon ,1385702504026066951,2021-04-23 21:09:56+00:00,Las horas contadas ?  #LarretaRenunciaYa,23,18,0,0, ,1035595902893936640,chuck_lennon,LarretaRenunciaYa ,,RT
1385705069006499844,2021-04-23 21:20:08+00:00,RT @productortano: 2500 millones de pesos de pauta para que los periodistas corruptos lo blinden contra nosotres #LarretaRenunciaYa Vamos !,0,0,0,0, ,2737629951,roxybetro,LarretaRenunciaYa ,productortano ,1385674399307685895,2021-04-23 19:18:16+00:00,2500 millones de pesos de pauta para que los periodistas corruptos lo blinden contra nosotres #LarretaRenunciaYa Vamos !,192,165,16,9, ,1337371177153662977,productortano,LarretaRenunciaYa ,,RT
1385705072257118213,2021-04-23 21:20:09+00:00,RT @Layegua1953: 📢#LarretaRenunciaYa   Luana Volnovich sumó un video a su denuncia de listas truchas de vacunación en la Ciudad de Buenos A…,0,0,0,0, ,1045323119911743489,SilviaIrenesan4,LarretaRenunciaYa ,Layegua1953 ,1385607886211010563,2021-04-23 14:53:58+00:00,📢#LarretaRenunciaYa   Luana Volnovich sumó un video a su denuncia de listas truchas de vacunación en la Ciudad de Buenos Aires https://t.co/HW3GMuCxge,25,49,2,3, ,817197009291644928,Layegua1953,LarretaRenunciaYa ,,RT
1385705087109058560,2021-04-23 21:20:12+00:00,RT @eleonoraugo5: Por los viejos a quienes les negas la vacunación #LarretaRenunciaYa,0,0,0,0, ,578722695,_josami,LarretaRenunciaYa ,eleonoraugo5 ,1385648819870785539,2021-04-23 17:36:37+00:00,Por los viejos a quienes les negas la vacunación #LarretaRenunciaYa,73,109,4,5, ,1306825927385640960,eleonoraugo5,LarretaRenunciaYa ,,RT
1385705087046139906,2021-04-23 21:20:12+00:00,RT @AngelaBonaerens: #LarretaRenunciaYa  Las Pre-Pagas  tienen 4 millones de afiliados   en CABA   están al límite    se están quedando sin…,0,0,0,0, ,1373883647116374016,alimaravilla8,LarretaRenunciaYa ,AngelaBonaerens ,1385608264671432709,2021-04-23 14:55:28+00:00,#LarretaRenunciaYa  Las Pre-Pagas  tienen 4 millones de afiliados   en CABA   están al límite    se están quedando sin canas . Las derivaciones van a Pcia BsAs.  Se trata de reducir la circulación   a través de restricciones ... SE ESTA CUIDANDO LA SALUD !!!,16,40,1,0, ,1324052159579774976,AngelaBonaerens,LarretaRenunciaYa ,,RT
1385705090619781123,2021-04-23 21:20:13+00:00,RT @chuck_lennon: Las horas contadas ?  #LarretaRenunciaYa,0,0,0,0, ,823263466052026369,RaulSolera1,LarretaRenunciaYa ,chuck_lennon ,1385702504026066951,2021-04-23 21:09:56+00:00,Las horas contadas ?  #LarretaRenunciaYa,23,19,0,0, ,1035595902893936640,chuck_lennon,LarretaRenunciaYa ,,RT
1385705095074131973,2021-04-23 21:20:14+00:00,RT @eleonoraugo5: Por los docentes #LarretaRenunciaYa,0,0,0,0, ,1327769796851752960,estelita2356,LarretaRenunciaYa ,eleonoraugo5 ,1385648538412011520,2021-04-23 17:35:30+00:00,Por los docentes #LarretaRenunciaYa,28,48,4,1, ,1306825927385640960,eleonoraugo5,LarretaRenunciaYa ,,RT
1385705096424660995,2021-04-23 21:20:14+00:00,RT @Amalia83037573: #LarretaRenunciaYa estos personajes del Pro siempre necesitan de muertos para llegar  ya lo hizo Macri cuando se sentó…,0,0,0,0, ,897797321597046785,DanielL53978448,LarretaRenunciaYa ,Amalia83037573 ,1385605365056872451,2021-04-23 14:43:56+00:00,#LarretaRenunciaYa estos personajes del Pro siempre necesitan de muertos para llegar  ya lo hizo Macri cuando se sentó en Cromagnon  luego lo volvió hacer con los 52  muertos de Once y como era poco  mintieron con Nisman de su falso asesinato ,41,45,2,1, ,1142546892242456576,Amalia83037573,LarretaRenunciaYa ,,RT
1385705100895789061,2021-04-23 21:20:15+00:00,RT @mjhansen21: LARRETA CRIMINAL 🤬  HOY FUE IMPUTADO POR LA JUSTICIA JUNTO A QUIROS  POR SEPARAR UNA SALA DEL HOSPITAL MUÑIZ PARA RESERVARL…,0,0,0,0, ,2494239348,nancyguiglio,,mjhansen21 ,1385602791545217028,2021-04-23 14:33:43+00:00,LARRETA CRIMINAL 🤬  HOY FUE IMPUTADO POR LA JUSTICIA JUNTO A QUIROS  POR SEPARAR UNA SALA DEL HOSPITAL MUÑIZ PARA RESERVARLA PARA PACIENTES CON PREPAGA  #LarretaRenunciaYa https://t.co/vC8UhTRrLc https://t.co/jEakXOzS5O,194,222,18,20, ,1349569096321552387,mjhansen21,,,RT
1385705103085211649,2021-04-23 21:20:16+00:00,RT @eleonoraugo5: Mas de 27 mil contagios. 557 fallecidos. Esto es gracias a todos los que se cagaron en el otro como #LarretaRenunciaYa,0,0,0,0, ,127045367,ANEVA73,LarretaRenunciaYa ,eleonoraugo5 ,1385691330148450315,2021-04-23 20:25:32+00:00,Mas de 27 mil contagios. 557 fallecidos. Esto es gracias a todos los que se cagaron en el otro como #LarretaRenunciaYa,36,41,0,0, ,1306825927385640960,eleonoraugo5,LarretaRenunciaYa ,,RT
